signal de sortie filtré	signal d'origine
76.889845	64.000000
57.889845	43.000000
36.889845	22.000000
15.278830	0.000000
-6.721170	-22.000000
-28.721170	-43.000000
-49.721170	-64.000000
-69.499139	-83.000000
-87.888124	-100.000000
-104.277108	-114.000000
-117.666093	-126.000000
-128.444062	-134.000000
-135.833046	-139.000000
-139.611015	-141.000000
-140.388985	-139.000000
-137.777969	-134.000000
-131.555938	-126.000000
-122.333907	-114.000000
-109.722892	-99.000000
-94.111876	-83.000000
-76.889845	-64.000000
-57.889845	-43.000000
-36.889845	-22.000000
-15.278830	0.000000
6.721170	22.000000
28.721170	43.000000
49.721170	64.000000
69.499139	83.000000
87.888124	100.000000
104.277108	114.000000
117.666093	126.000000
128.444062	134.000000
135.833046	139.000000
139.611015	141.000000
140.388985	139.000000
137.777969	134.000000
131.555938	126.000000
122.333907	114.000000
109.722892	99.000000
94.111876	83.000000
76.889845	64.000000
57.889845	43.000000
36.889845	22.000000
15.278830	0.000000
-6.721170	-22.000000
-28.721170	-43.000000
-49.721170	-64.000000
-69.499139	-83.000000
-87.888124	-100.000000
-104.277108	-114.000000
-117.666093	-126.000000
-128.444062	-134.000000
-135.833046	-139.000000
-139.611015	-141.000000
-140.388985	-139.000000
-137.777969	-134.000000
-131.555938	-126.000000
-122.333907	-114.000000
-109.722892	-99.000000
-94.111876	-83.000000
-76.889845	-64.000000
-57.889845	-43.000000
-36.889845	-22.000000
-15.278830	0.000000
6.721170	22.000000
28.721170	43.000000
49.721170	64.000000
69.499139	83.000000
87.888124	100.000000
104.277108	114.000000
117.666093	126.000000
128.444062	134.000000
135.833046	139.000000
139.611015	141.000000
140.388985	139.000000
137.777969	134.000000
131.555938	126.000000
122.333907	114.000000
109.722892	99.000000
94.111876	83.000000
76.889845	64.000000
57.889845	43.000000
36.889845	22.000000
15.278830	0.000000
-6.721170	-22.000000
-28.721170	-43.000000
-49.721170	-64.000000
-69.499139	-83.000000
-87.888124	-100.000000
-104.277108	-114.000000
-117.666093	-126.000000
-128.444062	-134.000000
-135.833046	-139.000000
-139.611015	-141.000000
-140.388985	-139.000000
-137.777969	-134.000000
-131.555938	-126.000000
-122.333907	-114.000000
-109.722892	-99.000000
-94.111876	-83.000000
-76.889845	-64.000000
-57.889845	-43.000000
-36.889845	-22.000000
-15.278830	0.000000
6.721170	22.000000
28.721170	43.000000
49.721170	64.000000
69.499139	83.000000
87.888124	99.000000
103.888124	114.000000
117.666093	126.000000
128.444062	134.000000
135.833046	139.000000
139.611015	141.000000
140.388985	139.000000
137.777969	134.000000
131.555938	126.000000
122.333907	114.000000
109.722892	100.000000
94.500861	83.000000
76.889845	64.000000
57.889845	43.000000
36.889845	22.000000
15.278830	0.000000
-6.721170	-22.000000
-28.721170	-43.000000
-49.721170	-64.000000
-69.499139	-83.000000
-87.888124	-99.000000
-103.888124	-114.000000
-117.666093	-126.000000
-128.444062	-134.000000
-135.833046	-139.000000
-139.611015	-141.000000
-140.388985	-139.000000
-137.777969	-134.000000
-131.555938	-126.000000
-122.333907	-114.000000
-109.722892	-99.000000
-94.111876	-83.000000
-76.889845	-64.000000
-57.889845	-43.000000
-36.889845	-22.000000
-15.278830	0.000000
6.721170	22.000000
28.721170	43.000000
49.721170	64.000000
69.499139	83.000000
87.888124	100.000000
104.277108	114.000000
117.666093	126.000000
128.444062	134.000000
135.833046	139.000000
139.611015	141.000000
140.388985	139.000000
137.777969	134.000000
131.555938	126.000000
122.333907	114.000000
109.722892	99.000000
94.111876	83.000000
76.889845	64.000000
57.889845	43.000000
36.889845	22.000000
15.278830	0.000000
-6.721170	-22.000000
-28.721170	-43.000000
-49.721170	-64.000000
-69.499139	-83.000000
-87.888124	-100.000000
-104.277108	-114.000000
-117.666093	-126.000000
-128.444062	-134.000000
-135.833046	-139.000000
-139.611015	-141.000000
-140.388985	-139.000000
-137.777969	-134.000000
-131.555938	-126.000000
-122.333907	-114.000000
-109.722892	-99.000000
-94.111876	-83.000000
-76.889845	-64.000000
-57.889845	-43.000000
-36.889845	-22.000000
-15.278830	0.000000
6.721170	22.000000
28.721170	43.000000
49.721170	64.000000
69.499139	83.000000
87.888124	100.000000
104.277108	114.000000
117.666093	126.000000
128.444062	134.000000
135.833046	139.000000
139.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-9.000000
-9.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-9.000000
-9.000000	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-9.000000
-9.000000	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	9.000000
9.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-9.000000
-9.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-9.000000
-9.000000	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-9.000000
-9.000000	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	9.000000
9.611015	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-9.000000
-9.611015	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
-10.388985	-9.000000
-9.000000	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-2.000000
-1.388985	0.000000
0.611015	2.000000
2.611015	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.000000	11.000000
11.611015	12.000000
12.611015	13.000000
13.000000	13.000000
13.611015	14.000000
14.000000	13.000000
13.000000	13.000000
13.000000	12.000000
12.000000	11.000000
10.388985	9.000000
9.000000	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	2.000000
1.388985	0.000000
-0.611015	-2.000000
-2.611015	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.000000	-11.000000
-11.611015	-12.000000
-12.611015	-13.000000
-13.000000	-13.000000
-13.611015	-14.000000
-14.000000	-13.000000
-13.000000	-13.000000
-13.000000	-12.000000
-12.000000	-11.000000
